id,predicted,predicted_probability
id_1,0,0.31254518
id_2,0,0.07485214
id_3,0,0.38205642
id_4,0,0.15144175
id_5,0,0.009000685
id_6,0,0.21136571
id_7,0,0.10340436
id_8,0,0.13011463
id_9,0,0.03576742
id_10,0,0.056746315
id_11,0,0.13873644
id_12,0,0.3016352
id_13,0,0.0909947
id_14,0,0.11077482
id_15,0,0.08200784
id_16,0,0.18313485
id_17,0,0.11923311
id_18,0,0.20762898
id_19,0,0.44548148
id_20,0,0.13392933
id_21,0,0.035026286
id_22,0,0.21333797
id_23,0,0.053063814
id_24,0,0.05981345
id_25,0,0.08584771
id_26,0,0.057646476
id_27,0,0.069267474
id_28,0,0.16675664
id_29,0,0.3283909
id_30,0,0.12415166
id_31,0,0.09938426
id_32,0,0.084269606
id_33,0,0.09779147
id_34,0,0.110004015
id_35,0,0.23691064
id_36,0,0.33139217
id_37,0,0.1775111
id_38,0,0.11818592
id_39,0,0.23840392
id_40,0,0.19644332
id_41,0,0.43522352
id_42,0,0.22665273
id_43,0,0.12800376
id_44,0,0.09669475
id_45,0,0.1417347
id_46,0,0.16525428
id_47,0,0.1597205
id_48,0,0.09387334
id_49,0,0.18207256
id_50,0,0.0596646
id_51,0,0.11215238
id_52,0,0.12320243
id_53,0,0.077945575
id_54,0,0.13324161
id_55,0,0.11660858
id_56,0,0.18635911
id_57,0,0.06600015
id_58,0,0.061099987
id_59,0,0.17478764
id_60,0,0.09665694
id_61,0,0.31580332
id_62,0,0.1863934
id_63,0,0.043583
id_64,0,0.29069236
id_65,0,0.06870282
id_66,0,0.046244696
id_67,0,0.14776118
id_68,0,0.1347698
id_69,0,0.06542725
id_70,0,0.080261655
id_71,0,0.2790347
id_72,0,0.14163676
id_73,0,0.04204141
id_74,0,0.12781727
id_75,0,0.03724791
id_76,0,0.24750951
id_77,0,0.10056126
id_78,0,0.17914343
id_79,0,0.12536335
id_80,0,0.14876519
id_81,0,0.032797616
id_82,0,0.037328865
id_83,0,0.061333038
id_84,0,0.04169653
id_85,0,0.0628184
id_86,0,0.21894793
id_87,0,0.037913274
id_88,0,0.033717196
id_89,0,0.051848665
id_90,0,0.09666971
id_91,0,0.19190188
id_92,0,0.2121382
id_93,0,0.020362912
id_94,0,0.020944487
id_95,0,0.073651955
id_96,0,0.14025909
id_97,0,0.09767481
id_98,0,0.2231984
id_99,1,0.5197492
id_100,0,0.110963844
id_101,0,0.094119325
id_102,0,0.19584155
id_103,0,0.13384561
id_104,0,0.029027302
id_105,0,0.03238168
id_106,0,0.33161923
id_107,0,0.15610953
id_108,0,0.03268731
id_109,0,0.025999008
id_110,0,0.038173772
id_111,0,0.10929173
id_112,0,0.061492123
id_113,0,0.021557812
id_114,0,0.107896425
id_115,0,0.07776954
id_116,0,0.023506444
id_117,0,0.1400692
id_118,0,0.03467718
id_119,0,0.03467718
id_120,0,0.37524876
id_121,0,0.03467718
id_122,0,0.03467718
id_123,0,0.03467718
id_124,0,0.13901569
id_125,0,0.03467718
id_126,0,0.03467718
id_127,0,0.14740407
id_128,0,0.11922656
id_129,0,0.1628681
id_130,0,0.10474806
id_131,0,0.4720429
id_132,0,0.30202568
id_133,0,0.13798511
id_134,0,0.07168302
id_135,0,0.084975235
id_136,0,0.38379467
id_137,0,0.110424824
id_138,0,0.21782278
id_139,0,0.10455212
id_140,0,0.17154954
id_141,0,0.28104594
id_142,0,0.27028227
id_143,0,0.08587384
id_144,0,0.08549685
id_145,0,0.45572808
id_146,0,0.17619163
id_147,0,0.15971285
id_148,0,0.20443209
id_149,0,0.10819073
id_150,0,0.22862558
id_151,0,0.026638877
id_152,0,0.04674258
id_153,0,0.19804373
id_154,0,0.043088853
id_155,0,0.26741457
id_156,0,0.15801306
id_157,0,0.23746228
id_158,0,0.07868615
id_159,0,0.0433472
id_160,0,0.024026468
id_161,0,0.05819968
id_162,0,0.20784946
id_163,0,0.25319496
id_164,0,0.23005465
id_165,0,0.31304145
id_166,0,0.12815772
id_167,0,0.24140418
id_168,0,0.1874864
id_169,0,0.063350454
id_170,0,0.41169652
id_171,0,0.29276374
id_172,0,0.08507417
id_173,0,0.17338656
id_174,0,0.019684354
id_175,0,0.04202218
id_176,0,0.046814773
id_177,0,0.020391615
id_178,0,0.07819174
id_179,0,0.11922656
id_180,0,0.03467718
id_181,0,0.22973183
id_182,0,0.15260732
id_183,0,0.045508947
id_184,0,0.04081762
id_185,0,0.109106556
id_186,0,0.058332402
id_187,0,0.2210635
id_188,0,0.26049945
id_189,0,0.06480958
id_190,0,0.02637724
id_191,0,0.0969799
id_192,0,0.01055159
id_193,0,0.07013808
id_194,0,0.05162418
id_195,0,0.07915776
id_196,0,0.06653271
id_197,0,0.2985869
id_198,0,0.36257815
id_199,0,0.052891158
id_200,0,0.09328272
id_201,0,0.20462076
id_202,0,0.07510216
id_203,0,0.117687844
id_204,0,0.17465681
id_205,0,0.053482365
